,Timestamp,Acc_X,Acc_Y,Acc_Z,AngV_X,AngV_Y,AngV_Z,Mag_X,Mag_Y,Mag_Z,Orin_X,Orin_Y,Orin_Z,Activity
42,2021-02-15 13:50:23.658,0.017065,2.445315,9.642947,0.023152,-0.001378,-0.015965,-19.761999,-4.66617,-41.801758,-89.820574,-14.311985,-0.329211,Sitting
43,2021-02-15 13:50:23.709,0.079036,2.445016,9.642349,0.014436,0.010189,-0.004014,-19.691841,-4.760748,-41.578552,-89.813856,-14.375488,-0.317872,Sitting
44,2021-02-15 13:50:23.759,0.011526,2.488575,9.678124,0.019877,0.015144,-0.005814,-19.808172,-4.841251,-41.647522,-89.817582,-14.383519,-0.332827,Sitting
45,2021-02-15 13:50:23.809,0.055385,2.469115,9.601783,0.00221,0.005969,-0.015769,-19.66317,-4.946514,-41.884827,-89.816425,-14.425397,-0.294335,Sitting
46,2021-02-15 13:50:23.859,-0.04311,2.469714,9.62229,-0.004565,-0.004182,0.007874,-19.895174,-4.766033,-42.080353,-89.815385,-14.432131,-0.287639,Sitting
47,2021-02-15 13:50:23.909,0.147892,2.45714,9.729917,0.027686,0.004169,-0.03084,-19.855322,-4.699795,-41.983307,-89.855449,-14.406098,-0.304424,Sitting
48,2021-02-15 13:50:23.960,-0.007335,2.486779,9.572294,0.00403,0.01078,-0.008152,-19.929995,-4.928968,-41.878265,-89.845052,-14.412146,-0.321072,Sitting
49,2021-02-15 13:50:24.010,0.045655,2.537074,9.622889,0.002891,0.01466,-0.004763,-19.904413,-4.694826,-41.903198,-89.839656,-14.450021,-0.309164,Sitting
50,2021-02-15 13:50:24.060,0.068108,2.450404,9.67049,0.005808,0.010944,-0.014722,-19.869677,-4.714838,-41.833405,-89.868358,-14.427195,-0.283056,Sitting
51,2021-02-15 13:50:24.110,0.035626,2.409988,9.599538,0.01085,0.00736,-0.009562,-19.744492,-4.77478,-42.02359,-89.870463,-14.432679,-0.272577,Sitting
52,2021-02-15 13:50:24.160,0.044308,2.47166,9.656868,-0.001409,0.017474,-0.009552,-19.740019,-4.897066,-41.513824,-89.85649,-14.466408,-0.253451,Sitting
53,2021-02-15 13:50:24.211,0.065863,2.506687,9.614507,0.01975,0.010576,-0.017031,-19.874847,-4.967356,-42.012024,-89.860478,-14.431206,-0.24301,Sitting
54,2021-02-15 13:50:24.261,0.035925,2.527344,9.594149,0.015473,0.013431,-0.004143,-19.639803,-4.825424,-41.843903,-89.864633,-14.456801,-0.240137,Sitting
